Product,Target Audience,Criteria Type,Criteria,Place,Search Query,Signals
VM,Online Gaming,Qualification,"The company develops, publishes, or operates online games",gen_descr,,"“Gaming company”, “MMO publisher”, “eSports operator”"
VM,Online Gaming,Mandatory,"Mentions multiplayer, online servers, or live-service model.",website,"site:{website} (""multiplayer"" OR ""service"" OR ""game"")","“Global servers”, “low-latency servers”, “multiplayer battles” , “live-service model” , “global servers”"
VM,Online Gaming,NTH,Publishes updates,website,"site:{website} (""release"" OR ""patch"" OR ""update"" OR ""version"")","“Patch notes”, “update v”."
VM,Online Gaming,NTH,Operates a dedicated game launcher/platform,website,"site:{website} (""launcher"" OR ""download"" OR ""platform"" OR ""desktop"")","“Game launcher”, “patcher”."
VM,Online Gaming,NTH,Past DDoS incidents or security downtime,website,"site:{website} (""DDoS"" OR ""downtime"" OR ""attack"")","“Mitigated DDoS”, “downtime due to attack”, “security breach”"
VM,Gambling,Qualification,Company is in the Online Gambling Industry,gen_descr,"""gambling"" OR ""betting"" OR ""iGaming"" OR ""gamble"" OR ""live-betting""","“betting site”, “iGaming provider”, “online casino”"
VM,Gambling,Mandatory,Offers live-betting / real-time odds or esports wagering,website,"site:{website} (""live-betting"" OR ""odds"" OR ""esports"")","“live odds”, “real-time betting”, “esports wagers”"
VM,Gambling,NTH,"Operates in two or more markets (e.g., EU + LATAM)",website,"site:{website}  (""EU"" OR ""LATAM"" OR ""Brazil"" OR ""Malta"" OR ""global"" OR ""worldwide"")","“regulated in EU”, “licensed in Brazil”"
VM,Gambling,NTH,Blog or status-page history referencing peak-event outages,website,"site:{website} (""outage"" OR ""tournament"" OR ""status"")","“downtime during match”, “peak traffic issue”"
VM,Fintech/Trading,Qualification,Industry tag: Fintech / Brokerage / Crypto-exchange / Market-data,gen_descr,"""fintech"" OR ""brokerage"" OR ""crypto"" OR ""broker""","“crypto platform”, “market data engine”"
VM,Fintech/Trading,Mandatory,Revenue model tied to trading or payment processing,gen_descr,"(""payment"" OR ""trade"" OR ""transaction"")","“trading volume”, “processing fees”"
VM,Fintech/Trading,NTH,Promotes 24/7 or offers always-on trading,website,"site:{website} (""24/7"" OR ""available"" OR ""nonstop"")","“Trade anytime”, “24/7 infrastructure”, “always available”"
VM,Fintech/Trading,NTH,Offers trading platforms emphasizing speed and precision for investors,website,"site:{website} (""Broker"" OR ""fast"" OR ""trading"" OR ""easy"")","“Broker”, “fast trading”, “trade fast”, “easy trading”"
