Product,Target Audience,Criteria Type,Criteria,Place,Search Query,Signals
CDN,All,General,"Company does not have HQ in China, Iran, Russia",gen_descr,,"Country mentions: ""China"", ""Russia"", ""Iran"", Office addresses, ""Mainland China users"", localized versions for these regions"
CDN,Software/SaaS,Qualification,Self-described ‘software company’ ,gen_descr,,"Phrase “software company”, “software vendor”, or “SaaS company”."
CDN,Software/SaaS,Mandatory,"Public site exposes “/api”, “/docs”, or “/developer”.",website,site:{website}/ (inurl:api OR inurl:docs OR inurl:developer),"\bAPI\b, API documentation, Developer API, Integration, RESTful API, GraphQL, Webhooks"
CDN,Software/SaaS,NTH,Public status page link.,website,"site:{website} (inurl:status OR ""status"" OR ""system"" OR ""uptime"")","Anchor text “Status”, “Status Page”, “Uptime”."
CDN,Software/SaaS,NTH,Claims 99.9 % (or higher) uptime SLA.,website,"site:{website} (""99.9"" OR ""99.99"" OR ""99.95"" OR ""99.999"") (uptime OR SLA OR availability)","Text “99.9”, “99.99”, or “99.999” next to “uptime” or “SLA”."
CDN,Software/SaaS,NTH,Site or docs mention more than one country,website,"site:{website} (""data"" OR ""location"" OR ""available"" OR ""presence"") (countries OR regions OR worldwide OR global)","“East Asia and the Pacific”, “EAP”, “Europe and Central Asia”, “ECA”, “Latin America and the Caribbean”, “LAC”, “Middle East and North Africa”, “MENA”, “North America”, “NA”, “South Asia”, “SA”, “Sub-Saharan Africa”, “SSA”, “Eastern”, “Middle East”, “Europe”, “Asia”, “America”, “Oceania”, ""EMEA""..."
CDN,Media & Entertainment,Qualification,"Provides video streaming, video content, OTT, or broadcasting services.",gen_descr,,"streaming, video on demand (VOD), live stream, watch now, HD video, 4K streaming, OTT platform, broadcast"
CDN,Media & Entertainment,Mandatory,Company offers video content,website,"site:{website} (""video"")","“Watch now” · “stream video” · “on-demand library”"
CDN,Media & Entertainment,NTH,Real-time coverage,website,"site:{website} (""real-time"" OR ""live"" OR ""broadcast"")","“real-time coverage” · “live coverage”"
CDN,Media & Entertainment,NTH,Global audience reach,website,"site:{website} (""global"" OR ""worldwide"" OR ""coverage"" OR ""international"")","“East Asia and the Pacific”, “EAP”, “Europe and Central Asia”, “ECA”, “Latin America and the Caribbean”, “LAC”, “Middle East and North Africa”, “MENA”, “North America”, “NA”, “South Asia”, “SA”, “Sub-Saharan Africa”, “SSA”, “Eastern”, “Middle East”, “Europe”, “Asia”, “America”, “Oceania”, ""EMEA"", ""APAC"", ""DACH"", ""worldwide"", ""globally"""
CDN,Media & Entertainment,NTH,Hosts large-scale live events or broadcasts,website,"site:{website} (""live"" OR ""event"" OR ""streaming"")","“Live event with X million viewers”, “sports broadcast”, “streamed to millions of viewers” , “world championship broadcast”"
CDN,Media & Entertainment,NTH,"Offers 4 K, HDR, or 8 K video quality.",website,"site:{website} (""4K"" OR ""HDR"" OR ""8K"" OR ""ultra"")","“4K”, “8K”, “HDR video”."
CDN,Media & Entertainment,NTH,Press releases or blogs covering streaming performance improvements,website,"site:{website} (""performance"" OR ""streaming"" OR ""iprovement"") (blog OR ""press"")","Post title with “buffering”, “startup delay”, “latency”, “Reduced buffering” , “cut startup delay” , “latency improvements”"
CDN,Media & Entertainment,NTH,Case studies mentioning traffic surges during live events,website,"site:{website} (""case"" OR ""customer"") (""traffic"" OR ""viewership"" OR ""during"")",“Handled X× traffic during live match” etc.
CDN,Gaming,Qualification,"The company develops, publishes, or operates online games",gen_descr,,"“Online game”, “MMO”, “multiplayer”,“online game developer” , “publishes MMOs”"
CDN,Gaming,Mandatory,"Mentions multiplayer, online servers, or live-service model.",website,"site:{website} (""multiplayer"" OR ""online"" OR ""live"" OR ""live-service"")","“Global servers”, “low-latency servers”, “multiplayer battles” , “live-service model” , “global servers”"
CDN,Gaming,NTH,Publisher has more than 100 employees,gen_descr,,"x employees worldwide"
CDN,Gaming,NTH,Publishes updates,website,"site:{website} (""release"" OR ""patch"" OR ""update"" OR ""version"")","“Patch notes”, “update v”."
CDN,Gaming,NTH,Operates a dedicated game launcher/platform,website,"site:{website} (""game"" OR ""download"" OR ""dedicated"" OR ""desktop"")","“Game launcher”, “patcher”."
CDN,Gaming,NTH,Mentions DDoS protection or past attacks mitigation,website,"site:{website} (""DDoS"" OR ""DDoS"" OR ""protected"" OR ""attack"")","“DDoS protected”, “attack mitigation”."
CDN,Finance,Qualification,"The company operates an online financial platform (banking, trading, payments, fintech)",gen_descr,,"“online banking”, “trading platform”, “payment gateway”."
CDN,Finance,Mandatory,"Website presence of a user-facing portal, app login, or transactional interface",website,"site:{website} (""login"" OR ""user"" OR ""sign"" OR ""dashboard"" OR ""account"")","“Login to your account”, “client portal”, ""login"", ""signup"", ""sign up"""
CDN,Finance,Mandatory,"Mentions secure transactions or compliance (PCI DSS, ISO 27001, GDPR, KYC, etc.).",website,"site:{website} (""PCI"" OR ""ISO"" OR ""GDPR"" OR ""KYC"" OR ""secure"" OR ""data"")","“PCI DSS compliant”, “ISO 27001 certified” , “GDPR compliant” , “Built-in KYC”, ""PCI"", ""DSS"", ""ISO 27001"", ""GDPR"", ""KYC"""
CDN,Finance,NTH,Mentions of more than 1 country service coverage,website,"site:{website} (""available"" OR ""presence"" OR ""coverage"" OR ""data"") (USA OR Germany OR Singapore OR France OR Brazil OR India)","“East Asia and the Pacific”, “EAP”, “Europe and Central Asia”, “ECA”, “Latin America and the Caribbean”, “LAC”, “Middle East and North Africa”, “MENA”, “North America”, “NA”, “South Asia”, “SA”, “Sub-Saharan Africa”, “SSA”, “Eastern”, “Middle East”, “Europe”, “Asia”, “America”, ... "
CDN,Finance,NTH,"Blog discussing latency, uptime, scaling",website,"site:{website} (""latency"" OR ""uptime"" OR ""scaling"") (blog OR engineering OR ""tech"")","Links  with “latency”, “uptime”, “scaling"", latency improvements”, “99.99% uptime”"
CDN,Finance,NTH,Published news about DDoS incidents or security events,website,"site:{website} (""DDoS"" OR ""security"" OR ""service"" OR ""outage"")","Press release containing “DDoS attack” or “breach”, “Mitigated DDoS attack” , “security incident”"
