Product,Target Audience,Criteria Type,Criteria,Place,Search Query,Signals
WAAP,All,General,Customers using special protocols that WAAP can’t protect,"Website (technical docs, integration pages)","site:{website} (""custom protocol"" OR ""integration"")","Mentions of unsupported/custom protocols (e.g., proprietary APIs, non-HTTP protocols)"
WAAP,IT Service Providers,Qualification,"Offers client-facing SaaS platforms or infrastructure portals (e.g., dashboards, control panels)","Public documentation, developer portal, GitHub","site:{website} (""SaaS platform"" OR ""client-facing app"")","Use ipinfo.io, bgp.he.net; mentions of “our network”, “data centers”, “edge”, or ASN info"
WAAP,IT Service Providers,NTH,The Company has its own SOC,"Careers page, about/security pages, LinkedIn job listings","site:{website} (""SOC"" OR ""Security Operations Center"")","Roles like “SOC Analyst”, “Security Operations”, or internal threat monitoring teams"
WAAP,Financial Services Enterprises,Qualification,Company operates in financial services,General description,"site:{website} (""security"" OR ""cloud"" OR ""platform"")","Mention of banking, finance, fintech, or similar domain"
WAAP,Financial Services Enterprises,NTH,The company has its own SOC,"Careers page, about/security pages, LinkedIn job listings","site:{website} (""SOC"" OR ""Security Operations Center"")","Roles like “SOC Analyst”, “Security Operations”, or internal threat monitoring teams"
WAAP,Financial Services Enterprises,Data point,Companies that require to protect static content sites cached by CDN,General description,"site:{website} (""security"" OR ""cloud"" OR ""platform"")","Website provides static assets (e.g., media, landing pages, large files) and relies on speed/content integrity"
WAAP,Financial Services Enterprises,Data point,The company is under downsizing/cost reduction process,"News, blog posts, investor calls, financial reports","(""cyber attack"" OR ""breach"" OR ""downtime"") site:{website}","Layoff announcements, hiring freezes, CFO statements on budget cuts"
WAAP,Telecommunications Providers,Qualification,Offers services of telecom,general description,"site:{website} (""security"" OR ""cloud"" OR ""platform"")","Website keywords “VoIP”, “IPTV”, “5G”, “broadband”, “fiber”, “telephony”, “SMS API”, “MNO”, “carrier-grade network”"
WAAP,Telecommunications Providers,Mandatory,5G / Broadband network technology footprint,"Public documentation, developer portal, GitHub","{""5G Network"" OR""Fiber-to-the-Home"" OR ""Gigabit Broadband""}",Company overview or industry presence indicates potential match
WAAP,Telecommunications Providers,NTH,The Company has its own SOC,"Careers page, about/security pages, LinkedIn job listings","site:{website} (""SOC"" OR ""Security Operations Center"")","Roles like “SOC Analyst”, “Security Operations”, or internal threat monitoring teams"
WAAP,Telecommunications Providers,NTH,"Oauth support, MFA, ZTNA, File Scanning (ICAP), SIEM plugins - BI platforms - Issue management systems","Documentation, careers, product pages, blog posts","site:{website} (""security"" OR ""cloud"" OR ""platform"")","Mentions of integrations (e.g., Okta, Azure AD, Splunk, Tableau, Jira), security feature specs"
WAAP,Telecommunications Providers,NTH,The company is under downsizing/cost reduction process,"News articles, blog posts, press releases, security incident databases","(""cyber attack"" OR ""breach"" OR ""downtime"") site:{website}","Layoff announcements, hiring freezes, CFO statements on budget cuts"
WAAP,Adult and Dating Platforms (Large),Mandatory,"Age verification - Age gates (“I am over 18”), “Verify age” popups, adult disclaimers",general description,"site:{website} (""security"" OR ""cloud"" OR ""platform"")",Company overview or industry presence indicates potential match
WAAP,Adult and Dating Platforms (Large),Qualification,Offers adult services,general description,"site:{website} (""security"" OR ""cloud"" OR ""platform"")","Dating Website keywords - “Meet singles”, “find love”, “dating app”, “matchmaking”, “swipe”, “chat with singles”"
WAAP,Adult and Dating Platforms (Large),NTH,"Live video, chat or streaming content","Website features, product pages, app store presence","site:{website} (""security"" OR ""cloud"" OR ""platform"")",Company overview or industry presence indicates potential match
WAAP,Adult and Dating Platforms (Large),NTH,The Company has its own SOC,"Careers page, about/security pages, LinkedIn job listings","site:{website} (""SOC"" OR ""Security Operations Center"")","Roles like “SOC Analyst”, “Security Operations”, or internal threat monitoring teams"
WAAP,Betting Platforms,Qualification,Betting services listed,"Website content, category listings, app store description","site:{website} (""security"" OR ""cloud"" OR ""platform"")","Use of real-time data feeds or live streaming for betting events; terms like “bet”, “odds”, “casino”"
WAAP,Betting Platforms,Mandatory,Age verification - Age gates (“I am over 18”) or identity verification,general description,"site:{website} (""security"" OR ""cloud"" OR ""platform"")",Company overview or industry presence indicates potential match
