Product,Target Audience,Criteria Type,Criteria,Place,Search Query,Signals
WAAP,All,General,Customers using special protocols that WAAP can’t protect,"Website (technical docs, integration pages)","site:{website} (""custom protocol"" OR ""integration"")","Mentions of unsupported/custom protocols (e.g., proprietary APIs, non-HTTP protocols)"
WAAP,IT Service Providers,Qualification,"Offers client-facing SaaS platforms or infrastructure portals (e.g., dashboards, control panels)","Public documentation, developer portal, GitHub","site:{website} (""SaaS platform"" OR ""client-facing app"")","Use ipinfo.io, bgp.he.net; mentions of “our network”, “data centers”, “edge”, or ASN info"
WAAP,IT Service Providers,NTH,The Company has its own SOC,"Careers page, about/security pages, LinkedIn job listings","site:{website} (""Security Operations Center"" OR ""SOC"" OR ""in-house SOC"" OR ""24/7 monitoring"")","Roles like “SOC Analyst”, “Security Operations”, or internal threat monitoring teams"
WAAP,Financial Services Enterprises,Qualification,Company operates in financial services,General description,"site:{website} (""financial services"" OR fintech OR payments OR brokerage)","Mention of banking, finance, fintech, or similar domain"
WAAP,Financial Services Enterprises,NTH,The company has its own SOC,"Careers page, about/security pages, LinkedIn job listings","site:{website} (""SOC"" OR ""Security Operations Center"")","Roles like “SOC Analyst”, “Security Operations”, or internal threat monitoring teams"
WAAP,Telecommunications Providers,Qualification,Offers services of telecom,general description,"site:{website} (""security"" OR ""cloud"" OR ""platform"")","Website keywords “VoIP”, “IPTV”, “5G”, “broadband”, “fiber”, “telephony”, “SMS API”, “MNO”, “carrier-grade network”"
WAAP,Telecommunications Providers,Mandatory,5G / Broadband network technology footprint,"Public documentation, developer portal, GitHub","site:{website} {""5G Network"" OR""Fiber-to-the-Home"" OR ""Gigabit Broadband""}",Company overview or industry presence indicates potential match
WAAP,Telecommunications Providers,NTH,The Company has its own SOC,"Careers page, about/security pages, LinkedIn job listings","site:{website} (""Security Operations Center"" OR ""SOC"" OR ""in-house SOC"" OR ""24/7 monitoring"")","Roles like “SOC Analyst”, “Security Operations”, or internal threat monitoring teams"
WAAP,Telecommunications Providers,NTH,"Oauth support, MFA, ZTNA, File Scanning (ICAP), SIEM plugins - BI platforms - Issue management systems","Documentation, careers, product pages, blog posts","site:{website} (""security"" OR ""cloud"" OR ""platform"")","Mentions of integrations (e.g., Okta, Azure AD, Splunk, Tableau, Jira), security feature specs"
WAAP,Telecommunications Providers,NTH,The company is under downsizing/cost reduction process,"News articles, blog posts, press releases, security incident databases","site:{website} (layoffs OR restructuring OR ""cost-cutting"" OR ""headcount reduction"" OR ""organizational change"" OR ""efficiency initiative"")","Layoff announcements, hiring freezes, CFO statements on budget cuts"
WAAP,Adult and Dating Platforms (Large),Mandatory,"Age verification - Age gates (“I am over 18”), “Verify age” popups, adult disclaimers",general description,"site:{website} (""verify age"" OR ""I am over 18"" OR ""age verification"" OR ""age-gate"" OR ""adult disclaimer"")",Company overview or industry presence indicates potential match
WAAP,Adult and Dating Platforms (Large),Qualification,Offers adult services,general description,"site:{website} (""adult entertainment"" OR porn OR webcam OR NSFW OR ""escort service"" OR ""adult dating"" OR ""18+ videos"" OR XXX)","Dating Website keywords - “Meet singles”, “find love”, “dating app”, “matchmaking”, “swipe”, “chat with singles”"
WAAP,Adult and Dating Platforms (Large),NTH,"Live video, chat or streaming content","Website features, product pages, app store presence","site:{website} (""live video"" OR livestream OR ""live chat"" OR streaming OR ""video-on-demand"" OR RTMP OR HLS OR DASH)",Company overview or industry presence indicates potential match
WAAP,Adult and Dating Platforms (Large),NTH,The Company has its own SOC,"Careers page, about/security pages, LinkedIn job listings","site:{website} (""Security Operations Center"" OR ""SOC"" OR ""in-house SOC"" OR ""24/7 monitoring"")","Roles like “SOC Analyst”, “Security Operations”, or internal threat monitoring teams"
WAAP,Betting Platforms,Qualification,Betting services listed,"Website content, category listings, app store description","site:{website} (sportsbook OR ""betting"" OR wager OR ""place your bet"" OR ""casino"" OR wagering)","Use of real-time data feeds or live streaming for betting events; terms like “bet”, “odds”, “casino”"
