Product,Target Audience,Criteria Type,Criteria,Place,Search Query,Signals
AI,Enterprise Digital Transformers,Qualification,Company describes enterprise-level transformation and scale,description,"""enterprise"" OR ""global"" OR ""multi-year strategy"" OR ""transformation roadmap"" OR ""at scale""","enterprise, global, transformation roadmap, multi-year strategy, at scale"
AI,Enterprise Digital Transformers,Mandatory,Mentions digital transformation or intelligent systems,description,"""digital transformation"" OR ""transforming operations"" OR ""accelerating innovation"" OR ""intelligent systems""","digital transformation, intelligent systems, accelerating innovation"
AI,Enterprise Digital Transformers,Mandatory,Mentions use of AI in at least two different business functions,description,"""supply chain"" OR ""inventory"" OR ""finance"" OR ""customer experience"" OR ""R&D"" OR ""IT"" OR ""automation"" OR ""marketing""","supply chain, finance, customer experience, R&D, IT, automation, marketing"
AI,Enterprise Digital Transformers,NTH,Mentions structured AI programs or leadership roles,description,"""Chief AI Officer"" OR ""AI assistant"" OR ""AI center"" OR ""AI innovation"" OR ""strategic AI partner""","Chief AI Officer, AI assistant, AI center, AI innovation, strategic AI partner"
AI,Enterprise Digital Transformers,NTH,"Mentions formal AI strategy, budget, or program ownership",description,"""AI strategy"" OR ""AI roadmap"" OR ""AI budget"" OR ""AI initiative""","AI strategy, AI roadmap, AI investment, strategic AI initiative"
AI,Data-First Innovators,Qualification,Company is tech-driven or platform-based and delivers services via web or mobile app,description,"""platform"" OR ""digital"" OR ""tech-driven"" OR ""mobile app"" OR ""online service""","platform, digital, tech-driven, mobile app, online service"
AI,Data-First Innovators,Mandatory,"Company offers personalized, real-time, or automated digital services as a core feature",description,"""personalized"" OR ""real-time"" OR ""automated"" OR ""tailored"" OR ""forecast"" OR ""instant delivery""","personalized, real-time, automated, tailored, forecast, instant delivery"
AI,Data-First Innovators,NTH,"Mentions fast iteration, innovation, or scaling of digital services",description,"""rapid growth"" OR ""fast scaling"" OR ""global expansion"" OR ""innovation"" OR ""agile""","rapid growth, fast scaling, global expansion, innovation, agile"
AI,Data-First Innovators,NTH,References using customer behavior or data insights to enhance services,description,"""customer data"" OR ""user insights"" OR ""behavior analysis"" OR ""personalized experience""","customer data, user insights, behavior analysis, personalized experience"
AI,Software ISVs & System Integrators,Qualification,"Company offers consulting, development, or integration services that include AI-enabled solutions for enterprise clients",description,"""AI solutions"" OR ""AI platform"" OR ""AI consulting"" OR ""enterprise AI"" OR ""AI integration""","AI solutions, AI platform, AI consulting, enterprise AI, AI integration"
AI,Software ISVs & System Integrators,Mandatory,"Company states it builds, integrates, or deploys AI solutions or platforms for enterprise clients",description,"""builds AI"" OR ""integrates AI"" OR ""deploys AI"" OR ""AI tools"" OR ""AI services""","builds AI, integrates AI, deploys AI, AI tools, AI services"
AI,Software ISVs & System Integrators,NTH,"Mentions industry-specific or verticalized AI services (e.g. finance, manufacturing, healthcare)",description,"""finance"" OR ""manufacturing"" OR ""healthcare"" OR ""industry-specific"" OR ""retail"" OR ""audit""","finance, manufacturing, healthcare, industry-specific, retail, audit"
AI,Software ISVs & System Integrators,NTH,"Mentions a proprietary or branded AI platform, framework, or packaged solution",description,"""AI Refinery"" OR ""Omnia"" OR ""Applied AI"" OR ""Topaz"" OR ""agentic AI""","AI Refinery, Omnia, Applied AI, Topaz, agentic AI"
AI,AI-Native Startups,Qualification,"Company describes itself as an AI or ML company, or clearly presents AI as its business focus",description,"""AI company"" OR ""ML company"" OR ""AI-first"" OR ""AI-native""","AI company, AI-native, ML startup, AI-first"
AI,AI-Native Startups,Mandatory,"AI models, tools, or platforms are described as the core product or service",description,"""AI platform"" OR ""AI model"" OR ""AI video"" OR ""AI-generated"" OR ""AI assistant""","AI product, AI model, core service, AI tool"
AI,AI-Native Startups,NTH,"Mentions real-time performance, developer control, or customization features",description,"""real-time"" OR ""developer platform"" OR ""customization"" OR ""flexible"" OR ""creative tools""","real-time tools, developer-led, creative control"
AI,AI-Native Startups,NTH,"Describes a multimodal or frontier AI use case (e.g., image, video, audio, code generation)",description,"""video generation"" OR ""image synthesis"" OR ""audio AI"" OR ""code generation"" OR ""multimodal AI""","GenAI, video, image, audio, code, multimodal use cases"
AI,Public Sector Agencies,Qualification,"Organization is a municipal, state, or national public body or agency",description,"""government agency"" OR ""public sector"" OR ""ministry"" OR ""municipality""","public sector, agency, ministry, public body"
AI,Public Sector Agencies,Mandatory,"Mentions AI projects in citizen services, healthcare, infrastructure, or public operations",description,"""AI project"" OR ""citizen services"" OR ""diagnostics"" OR ""chatbots"" OR ""smart city""","AI for citizen services, AI in diagnostics, public service automation"
AI,Public Sector Agencies,NTH,"Mentions responsible AI, data protection, transparency, or public accountability",description,"""responsible AI"" OR ""citizen data"" OR ""public accountability"" OR ""ethical AI"" OR ""privacy"" OR ""digital ID""","responsible AI, citizen privacy, ethical use, digital ID"
AI,Public Sector Agencies,NTH,"Describes AI pilot programs, trials, or innovation initiatives",description,"""AI trial"" OR ""pilot project"" OR ""innovation initiative"" OR ""R&D program""","AI pilots, innovation, research initiative, public testing"
AI,,General,"The company does not have headquarters in Mainlaind China, Iran or Russia.",,, 
